"Login ID","Shift Start","Shift End","Logged Time","Break (t)","Appointments (#)","Ready:Talk Time","Ready:Wrap Time"
"w blonde","Apr 5 6:36AM","Apr 5 1:11PM","6 hours 35 min.","1 hours 13 min.","1","2 hours 9 min.","1 hours 25 min."
"sp montano","Apr 5 6:43AM","Apr 5 1:11PM","6 hours 23 min.","3 hours 39 min.","2","1 hours 19 min.","28 min. 18 s."
"w mike","Apr 5 7:13AM","Apr 5 1:11PM","5 hours 53 min.","1 hours 35 min.","3","2 hours 3 min.","28 min. 9 s."
"w mahmoud","Apr 5 7:30AM","Apr 5 1:11PM","5 hours 42 min.","2 min. 42 s.","2","2 hours 7 min.","16 min. 38 s."
"w atef","Apr 5 6:46AM","Apr 5 1:11PM","6 hours 26 min.","20 min. 27 s.","-","2 hours 31 min.","24 min. 38 s."
"w jacob","Apr 5 7:13AM","Apr 5 1:11PM","5 hours 59 min.","1 hours 23 min.","2","2 hours 15 min.","36 min. 25 s."
"w hector","Apr 5 6:58AM","Apr 5 1:11PM","6 hours 14 min.","1 hours 35 min.","4","2 hours 18 min.","27 min. 22 s."
"w ricky1","Apr 5 7:14AM","Apr 5 1:11PM","5 hours 58 min.","50 min. 21 s.","2","2 hours 35 min.","17 min. 38 s."
"w ana","Apr 5 7:14AM","Apr 5 1:11PM","5 hours 54 min.","1 hours 11 min.","1","2 hours 25 min.","31 min. 14 s."
"w jonathan","Apr 5 7:14AM","Apr 5 1:11PM","5 hours 58 min.","1 hours 9 min.","-","1 hours 38 min.","1 hours 34 min."
"w fisher","Apr 5 6:46AM","Apr 5 1:11PM","6 hours 17 min.","1 hours 14 min.","1","2 hours 12 min.","32 min. 54 s."
"w tillo","Apr 5 7:08AM","Apr 5 1:11PM","6 hours 3 min.","41 min. 23 s.","-","2 hours 28 min.","53 min. 28 s."
"w atya","Apr 5 7:54AM","Apr 5 1:11PM","5 hours 18 min.","29 min. 15 s.","4","2 hours 18 min.","17 min. 29 s."
"w bobby","Apr 5 7:12AM","Apr 5 1:11PM","6 hours 0 min.","56 min. 41 s.","4","2 hours 38 min.","43 min. 2 s."
"w larry","Apr 5 8:02AM","Apr 5 11:09AM","3 hours 7 min.","-","2","31 min. 41 s.","1 hours 47 min."
"w samuel","Apr 5 6:31AM","Apr 5 1:11PM","6 hours 28 min.","1 hours 3 min.","6","2 hours 37 min.","40 min. 9 s."
"w jonny","Apr 5 7:14AM","Apr 5 1:11PM","5 hours 41 min.","45 min. 19 s.","2","2 hours 11 min.","1 hours 22 min."
"w jessi","Apr 5 7:15AM","Apr 5 1:11PM","5 hours 18 min.","50 min. 33 s.","1","1 hours 12 min.","1 hours 20 min."
"sp burboa","Apr 5 6:54AM","Apr 5 1:11PM","6 hours 18 min.","1 hours 11 min.","3","2 hours 25 min.","55 min. 11 s."
"w ivan","Apr 5 7:13AM","Apr 5 1:11PM","5 hours 59 min.","2 hours 9 min.","1","2 hours 0 min.","14 min. 41 s."
"w gaucin","Apr 5 7:11AM","Apr 5 1:11PM","6 hours 1 min.","50 min. 56 s.","3","2 hours 37 min.","17 min. 34 s."
"w jimmy","Apr 5 7:13AM","Apr 5 1:11PM","5 hours 59 min.","31 min. 21 s.","1","2 hours 36 min.","53 min. 40 s."
"w calderon","Apr 5 6:49AM","Apr 5 1:11PM","5 hours 6 min.","1 hours 1 min.","4","1 hours 52 min.","37 min. 3 s."
